Food,Associativity,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg CO2e),Ingredients
Palak aloo Vegetable,2,"North,East,West",Dry Curry,Veg,no-allergies,1 small bowl,216,246,12,30,7,12,0.1097,Spinach-1.5 cup; POTATO ; Tomato-120 gms)-1 gms; Onion-50 gms;; Cumin seeds-4 gms; Turmeric powder-4 gms; Common salt-7 gms; Cooking oil-15 gms; Coriander leaves-15 gms
Mix Vegetable,2,"North,East,West",Dry Curry,Veg,no-allergies,1 small bowl,203,99,2,7,5,4,0.21325,Cauliflower-15 gms; carrot-15 gms; Beans-15 gms; Cabbage-15 gms; Capsicum-15 gms; Peas-10 gms; Tomato-35 gms; Onion-15 gms; Chillies-0.25 gms; Cumin seeds-4 gms; Turmeric powder-4 gms; Common salt-0.5 gms; Cooking oil-15 gms; Coriander leaves-15 gms
Dal Cheela,1,"North,East,West","Lunch,Dinner",Veg,no-allergies,1 medium,234,512,31,76,8,15,0.24475,Gram dal-125 gms; Onion-15 gms; Capsicum-15 gms; carrot-15 gms; Coriander leaves-15 gms; Turmeric powder-7 gms; Cumin seeds-7 gms; Common salt-15 gms; Cooking oil-15 gms; Ginger-0.5 gms
Dhokla,6,West,Snacks,Veg,no-allergies,4 number,167,209,10,31,4,6,0.1119,Bread-2- gms; Avocado-60 gms;Garlic-7 gms; CUCUMBER-30 gms; Tomato-30 gms; Lemon-0.25 gms; Common salt-15 gms
SEEKH KEBAB (CHICKEN),6,Continental,Appetizer,Non-veg,no-allergies,4 number,381,248,24,6,14,2,1.0117,Lemon-15 gms; Cooking oil-15 gms; Common salt-7 gms; Coriander Leaves-30 gms; Ginger powder-15 gms; Garlic powder-15 gms; Red chilli Powder-24 gms;Onion-125 gms; Cumin Powder-15 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Chicken-90 gms
SAMAKHIA RICE,0,"North,East,West","Lunch,Dinner",Veg,no-allergies,1 small bowl,172,263,4,38,10,6,0.5305,Cumin seeds-15 gms; Cooking oil-7 gms; Samakhia Rice-150 gms
Spring Roll,0,Continental,Snacks,Veg,no-allergies,4 number,387,125,3,20,4,2,0.3492,carrot-75 gms; CABBAGE-125 gms; Capsicum-75 gms;Onion-60 gms; Ginger-15 gms; Rice Paper-8 gms; Black Pepper-7 gms; Common salt-7 gms; Cooking oil-15 gms
Grilled Vegetables,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,76,18,1,2,0,0,0.0064,Capsicum-0.5 gms; Onion-0.5 gms; MUSHROOM-2 gms; Zucchini-0.5 gms; Tomato-0.5 gms; Common salt-4 gms; Black pepper-0.25 gms; Lemon-0.25 gms
Grilled Fruits ,0,Continental,Breakfast,Veg,no-allergies,1 small bowl,115,52,0,13,0,2,0.093,PEACHES-5 gms; Watermelon-25 gms; Plum-15 gms; Pear-30 gms; Pineapple-40 gms
Amla water,10,"North,South,East,west",Beverages,Veg,no-allergies,1 glass,11,16,0,3,0,1,0.0024,Amla-1 gms; Black pepper-1.5 gms;Mint leaves-5 gms
Prune and Imlie (Tamarind) Water,10,"North,South,East,west",Beverages,Veg,no-allergies,1 glass,3,44,0,10,0,2,0.00375,PRUNES-2 gms; TAMARIND-1 gms
Imlie & Prune Water with Mishri,10,"North,South,East,west",Beverages,Veg,no-allergies,4 glass,102,100,2,21,1,0,0.1655,PRUNES-2 gms; Tamarind-50 gms; Mishri-50 gms
Jau Roti (100%),1,"North,West","Lunch,Dinner",Veg,no-allergies,4 medium,150,79,3,15,0,4,0.165,Barley-150 gms
Kodo Millet Khichdi,3,South,"Lunch,Dinner",Veg,no-allergies,4 small bowl,469,253,6,43,6,7,0.659,carrot-75 gms; Capsicum-150 gms; Onion-75 gms; Peas-50 gms; Cumin seeds-15 gms; Common salt-15 gms; Cooking oil-15 gms; Coriander Leaves-15 gms; Kodo Millet-200 gm; Turmeric powder-7 gms; Coriander Powder-7 gms; Ginger powder-15 gms; Garlic powder-15 gms; Chillies-15 gms
Chicken Curry,"2,8","North,South,East","Dry Curry, Gravy",Non-veg,no-allergies,4 medium bowl,775,285,29,8,15,3,2.8485,Cooking oil-15 gms; Common salt-15 gms; Chicken-350 gms;Onion-120 gms; Tomato-140 gms; Cumin seeds-15 gms; Cinnamon-15 gms; cardamom powder-15 gms; Garlic powder-15 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Red chilli Powder-15 gms; Coriander seeds-15 gms; Ginger powder-15 gms
Chicken keema,"2,8","North,South,East","Dry Curry, Gravy",Non-veg,no-allergies,4 small bowl,601,249,26,8,13,2,1.8555,Chillies-7 gms; Cooking oil-15 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Common salt-15 gms;Onion-120 gms; Tomato-140 gms; Garlic powder-15 gms; Coriander Leaves-15 gms; Ginger powder-15 gms; Chicken-200 gms; Garam Masala-15 gms; Cumin Powder-15 gms; Coriander Powder-15 gms
Chana Dal,"2,8","North,East,West","Dry Curry, Gravy",Veg,no-allergies,4 small bowl,466,251,14,31,7,11,0.6015,Gram dal-250 gms; Onion; Tomato-120 gms; Turmeric powder-7 gms; Cumin seeds-7 gms; Common salt-15 gms; Cooking oil-15 gms; Ginger powder-7 gms; Red chilli Powder-15 gms; Coriander Leaves-15 gms; Coriander Powder-15 gms
