Food,Associativity,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg CO2e),Ingredients
Ragi Roti (25% Ragi & 75% Normal Atta),1,South,"Lunch,Dinner",Veg,gluten ,1 medium,100,100,4,21,0,1,0.03125,Wheat-75 gms; Ragi flour-25 gms
Dal peetha,0,East,Snacks,Veg,gluten ,4 gms,404,239,9,39,5,8,0.5095,Atta-200 gms; Gram dal-50 gms; Cumin seeds-15 gms; Tomato-120 gms; Ginger-4 gms; Chillies-2 number; Mustard oil-15 gms
Tawa Roti,1,"North,South,East,West","Lunch,Dinner",Veg,gluten ,2 number,101,192,7,39,1,7,0.1001,Atta-100 gms; Common salt-1 gms
Missi Roti(1/3 Besan & 1/3 Wheat Atta & 1/3 Wheat Bran),1,"North,West","Lunch,Dinner",Veg,gluten ,1 medium,728,1494,55,264,27,59,0.6947,Besan-250 gms; Atta-250 gms; Onion-160 gms; Ajwain-15 gms; Red chilli Powder-15 gms; CORIANDER-1 gms; Cumin seeds-15 gms; Common salt-7 gms; Olive oil-15 gms
Open Sandwich with one slice,0,Continental,"Lunch,Dinner",Veg,gluten ,1 slice,380,157,8,30,0,6,0.2174,Bread-25 gms; carrot-62 gms; Beetroot-62 gms; CUCUMBER-62 gms; TOMATO-62 gms; Onion-62 gms; Coriander leaves-15 gms; Common salt-15 gms; Chat Masala-15 gms
50% Barley Atta & 50% Oats Atta Roti,1,"North,East,West","Lunch,Dinner",Veg,gluten ,1 number,250,367,12,70,4,14,0.2625,Barley Flour-125 gms; Oats Flour-125 gms
Garlic Toast,11,Continental,Snacks,Veg,gluten ,2 number,105,252,6,31,12,1,0.448,Bread-60 gms; Garlic-5 gms; Butter-30 gms; Common salt-10 gms
Ragi Roti (50% Ragi atta + 50% Wheat atta),1,South,"Lunch,Dinner",Veg,gluten ,4 medium,627,100,4,20,1,4,0.6916,Ragi flour-200 gms; Atta-250 gms; Onion-125 gms; Coriander leaves-20 gms; Chillies-15 gms; Cumin seeds-1 gms; Common salt-1 gms; Olive oil-15 gms
Quinoa Flour Roti (50% Quinoa Flour + 50% Normal Atta),1,"North,East,West","Lunch,Dinner",Veg,gluten ,2 medium,535,258,10,48,3,7,0.835,Quinoa-350 gms; Atta-150 gms; Coriander Powder-5 gms; Red chilli Powder-15 gms; Olive oil-15 gms
Oats Bran Roti,1,"North,East,West","Lunch,Dinner",Veg,gluten ,1 medium,289,386,13,66,7,11,0.2855,Common salt-15 gms; Oats Flour-250 gms; Cumin seeds-24 gms
Bajra Roti(50% Bajra & 50 % Wheat Atta),1,"North,West","Lunch,Dinner",Veg,gluten ,6 medium,515,53,2,11,0,2,0.2765,Bajra-250 gms; Atta-250 gms; Common salt-15 gms;
Amaranth Flour roti,1,"North,East,West","Lunch,Dinner",Veg,gluten ,6 medium,30,2,2,4,1,6,0.0915,Common salt-15 gms;Olive oil-15 gms; Amaranth Flour-1 gram
Amaranth Flour Roti 50% Amaranth Flour and 50% Wheat Flour,1,"North,East,West","Lunch,Dinner",Veg,gluten ,6 medium,180,33,2,9,1,4,0.2415,Amaranth Flour-1 gram; Atta-150 gms; Common salt-15 gms ; Olive oil-15 gms
Bread Poha with Brown Bread,0,"North,East,West","Lunch,Dinner",Veg,gluten ,1 medium bowl,434,107,3,19,1,2,0.6024,Bread-100 gms; Onion-125 gms; Tomato-90 gms; Mustard seeds-24 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Coriander Powder-5 gms; Olive oil-15 gms; Common salt-15 gms; Coriander leaves-15 gms
Ragi Roti Without Oil,1,"North,East,West","Lunch,Dinner",Veg,gluten ,1 medium,290,0,0,0,0,0,0.2265,Ragi-150 gms; Common salt-15 gms; Onion-125 gms
Vegetable Wheat Vermicelli,9,"North,South",Breakfast,Veg,gluten ,4 medium bowl,765,135,4,19,4,5,0.9382,Vermicelli-300 gms;Onion-125 gms; Tomato-90 gms; Black pepper-7 gms; Peas-150 gms; Olive oil-15 gms; Cumin seeds-7 gms; Ginger-15 gms; Garlic powder-15 gms; Turmeric powder-4 gms; Garam Masala-15 gms; Common salt-7 gms; Coriander leaves-15 gms
Amarnath Roti(50%Almond Flour+50%Normal Atta),1,"North,East,West","Lunch,Dinner",Veg,gluten ,1 medium,166,380,23,80,12,40,0.122,Amaranth Flour-1 gms; Oats-150 gms; Common salt-15 gms
Veggies Stuffed Jaw Roti,1,"North,East,West","Lunch,Dinner",Veg,gluten ,1 number,770,955,23,134,37,35,0.8,Barley Flour-250 gms; Common salt-15 gms; Olive oil-15 gms;Onion-125 gms; POTATO-150 gms; carrot-15 gms; Peas-150 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms
Whole Wheat Bread Poha,9,West,Breakfast,Veg,gluten ,1 small katori,315,292,6,25,18,7,0.4475,Bread-25 gms;Onion-125 gms; Tomato-90 gms; Chillies-15 gms; ; Cumin seeds-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Olive oil-15 gms
Oats bran roti(50% Oats bran & 50% wheat atta),1,"North,East,West","Lunch,Dinner",Veg,gluten ,1 medium,180,496,20,52,23,4,0.1365,Oats-150 gms; Common salt-15 gms;  Maida-15 gms
Garlic and Tomato Salad,0,"Continental,North,South,East,West",Appetizer,Veg,garlic ,1 medium bowl,241,69,4,9,1,5,0.204,Tomato-120 gms; Lettuce Leaf-100 gms;Garlic-5 gms; Common salt-15 gms; Black pepper-1 gms
FISH CURRY,8,South,Gravy,Non-veg,fish ,1 medium katori,434,196,22,12,6,4,1.2857,Sunflower oil-7 gms; Onion-62 gms; Ginger-4 gms; Garlic-7 gms; Turmeric powder-7 gms; Tomato-125 gms; Common salt-7 gms; Coriander leaves-15 gms; Fish-200 gms
Fish Salad,0,"Continental,North,South,East,West","Lunch,Dinner",Non-veg,fish ,1 medium bowl,487,400,43,6,20,2,1.0611,Salmon-200 gms; Lemon-15 gms; Common salt-7 gms; Lettuce Leaf-6 0 gms; Cucumber-62 gms; Capsicum-45 gms;Onion-150 gms; Garlic-4 gms;Black Pepper-4 gms
GRILLED FISH,8,Continental,Gravy,Non-veg,fish ,1 medium,120,305,21,0,25,0,0.54,Lemon-0.5 gms;Salmon-100 gms; Olive oil-15 gms
Masala Fish Fry,2,East,Dry Curry,Non-veg,fish ,3 number,32,22,4,1,0,0,0.061,CAT FISH-2 gms; Turmeric powder-15 gms; Common salt-15 gms
Non-veg PLATTER (Fish),8,East,Gravy,Non-veg,fish ,3 number,269,53,9,2,1,2,1.0358,Garlic-4 gms;Lettuce Leaf-20 gms; Spinach-20 gms; CUCUMBER-0.25 gms; Fish-200 gms
Samakiya Rice,0,South,"Lunch,Dinner",Non-veg,fish ,1 medium katori,150,180,3,37,1,4,0.45,Samakhia Rice-150 gms
Fish Tikka,6,North ,Appetizer,Non-veg,fish,4 medium,515,238,30,4,10,1,2.3335,Ginger-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Fish-360 gms; Garlic powder-15 gms; Lemon-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Red chilli Powder-15 gms; Olive oil-30 gms; Cumin Powder-15 gms; Yoghurt-1 gm
Baked Fish,0,Continental,Dinner,Non-veg,fish,1 number,170,168,19,0,9,0,0.5735,fish-100 gms;Parsley-0.25 gms; red chilli flakes-4 gms; Kali Mirch Powder-4 gms; Cooking Oil-7 gms; Lemon-15 gms; Common salt-15 gms
Fish Cutlet (Grilled/Roasted),6,Continental,Appetizer,Non-veg,fish,1 number,264,216,16,13,10,4,0.4519,fish-60 gms; Potato-150 gms; Onion-0.5 gms; Ginger-4 gms;Garlic-4 gms; Turmeric powder-4 gms; Red Chilli Powder-4 gms;Lemon-4 gms; Coriander leaves-15 gms; Cooking oil-7 gms; Cumin seeds-7 gms
Fish Tikka Kebab,6,East,Appetizer,Non-veg,fish,1 number,122,177,17,2,10,2,0.4998,fish-70 gms; Yoghurt-7 gms; Lemon-7 gms; Ginger powder-4 gms; Garlic powder-4 gms; Chilli powder-4 gms; Turmeric powder-4 gms; Cooking oil-7 gms; Cumin seeds-15 gms
Fish Sizzler,0,Continental,Appetizer,Non-veg,fish,1 number,590,106,7,13,3,13,1.163,fish-200 gms ; Zucchini-125 gms; carrot-125 gms;Garlic-15 gms;   Coriander leaves-125 gms
Lettuce wrapped fish,0,Continental,"Lunch,Dinner",Non-veg,fish,2 number,640,110,8,3,7,2,0.953,Lettuce Leaf-20 gms; TOMATO-150 gms; Onion-150 gms; Coriander leaves-15 gms; Lemon-15 gms; Avocado-150 gms;Garlic-10 gms; Common salt-15 gms; Salmon-100 gms; Olive oil-15 gms
Egg white omelette,9,Continental,Breakfast,Eggetarian,egg ,1 medium,135,74,7,0,5,0,0.0175,Egg-130 gms ; Sunflower oil-5 gms
Egg white Scrambled,9,Continental,Breakfast,Eggetarian,egg ,2 medium bowl,60,35,2,1,3,1,0.2475,Egg-30 gms ; Groundnut oil-15 gms; Black pepper-15 gms
Poached Egg white,9,Continental,Breakfast,Eggetarian,egg ,1 gms,195,85,8,0,5,0,0.735,Egg-150 gms ; Sunflower oil-15 gms; Lemon-15 gms; Common salt-15 gms
Egg Bhurji,2,"North,East,West",Dry Curry,Eggetarian,egg ,1 medium katori,201,117,8,3,8,1,0.7329,Egg-130 gms; Cooking oil-7 gms; Onion-20 gms; Capsicum-10 gms; Mushroom-15 gms; Common salt-4 gms; Red chilli Powder-15 gms
EGG WHITE SALAD,0,Continental,Appetizer,Eggetarian,egg ,1 small bowl,244,91,15,6,0,4,0.6688,Egg-130 gms; Celery-62 gms; Capsicum-2 gms; Onion-15 gms;  Lettuce Leaf-20 gms ;Black pepper-15 gms
EGG SALAD,0,"Continental,North,South,East,West","Lunch,Dinner",Eggetarian,egg ,1 medium bowl,276,347,18,5,28,3,0.7961,Egg-130 gms; Capsicum-62 gms; Common salt-4 gms; Lettuce Leaf-20 gms; Onion-15 gms; Black pepper-15 gms; Mustard oil-15 gms; Lemon-15 gms
Egg white Fritatta,9,Continental,Breakfast,Eggetarian,egg ,1 medium,292,110,11,2,5,1,1.0325,Egg-180 gms; Milk-15 gms; Common salt-15 gms; Cooking oil-15 gms; TOMATO-15 gms; Capsicum-15 gms; Mushroom-15 gms; Spinach-15 gms; Black pepper-7 gms
"Carrot, Bell Pepper, Broccoli, Cucumber , Beetroot Salad and Egg Salad",0,"Continental,North,South,East,West",Appetizer,Eggetarian,egg ,1 medium bowl,388,144,11,21,0,8,0.7913,Egg-130 gms; carrot-50 gms; Capsicum-60 gms; CUCUMBER-40 gms; BEETROOT-15 gms;Garlic-1 gms; Common salt-15 gms; Black pepper-15 gms;Broccoli-62 gms 
Roast Chicken Tomato Salad,0,"Continental,North,South,East,West",Appetizer,Non-veg,egg ,1 medium bowl,327,192,13,7,12,1,1.1139,Lettuce Leaf-50 gms; Tomato-50 gms; Onion-30 gms; Common salt-0.5 gms; Black pepper-0.5 gms; Lemon-10 gms;Parsley-10 gms;Garlic-2 gms; Olive oil-15 gms;Chicken-150 gms
Egg Rice,5,"North,South,East,West","Lunch,Dinner",Eggetarian,egg ,1 medium bowl,265,143,5,23,2,4,0.7705,Egg-2 gms; Onion-30 gms; Capsicum-20 gms; MUSHROOM-10 gms; Peas-10 gms; Garlic-5 gms; Ginger-2 gms; Chillies-2 gms; soya sauce-2 gms; Cooking oil-2 gms; Common salt-15 gms; Black pepper-15 gms; Rice-150 gms
Masala omelette,9,"North,East,West",Breakfast,Eggetarian,egg ,1 medium,381,74,5,1,5,1,0.8948,Egg-130 gms; Onion-90 gms; Tomato-120 gms; Chillies-15 gms; Common salt-7 gms; Coriander leaves-4 gms; Cooking oil-15 gms
Banana Bread (egg),9,Continental,Breakfast,Eggetarian,egg ,2 slice,116,121,6,18,4,1,0.0837,Banana-75 gms; BUTTER-7 gms; Egg-65; Wheat-30 gms; Common salt-4 gms
Veggies and Egg soup,0,Continental,Appetizer,Eggetarian,egg ,1 medium bowl,471,83,3,16,0,5,0.9061,Onion-75 gms;Garlic-7 gms; carrot-75 gms; Zucchini-50 gms; Spinach-50 gms; MUSHROOM-70 gms; Egg-130 gms; Common salt-7 gms; Black pepper-7 gms
Egg Wheat Noodles,0,Continental,"Lunch,Dinner",Eggetarian,egg ,2 medium bowl,808,192,15,31,1,9,1.27385,Egg-130 gms; carrot-125 gms; Capsicum-250 gms; Peas-250 gms;Garlic-3 gms; soya sauce-15 gms; VINEGAR-15 gms; Common salt-15 gms; Ginger-0.5 gms
Egg curry,"2,8","North,South,East","Dry Curry, Gravy",Eggetarian,egg ,2 small bowl,88,122,10,3,8,1,0.2291,Egg-30 gms; Onion-10 gms; Tomato-10 gms; Turmeric powder-4 gms; Common salt-15 gms; Cooking oil-15 gms; Coriander leaves-4 gms
Egg Sunny Sideup,0,Continental,Breakfast,Non-veg,egg ,1 medium,28,69,5,0,5,0,0.0837,Egg-2 gms; Cooking oil-15 gms; Common salt-7 gms;Black Pepper-4 gms
Egg White Sandwich,9,Continental,Breakfast,Eggetarian,egg ,1 medium,199,231,13,30,7,5,0.1932,Egg-20gms; Bread-30 gms; Olive oil-15 gms; Black Pepper-7 gms; Common salt-7 gms; Cherry Tomato-100 gms; Onion-37.5 gms; Coriander Leaves-15 gms
Egg white Boiled,0,Continental,Breakfast,Eggetarian,egg ,2 medium,160,69,7,0,5,0,0.594,Egg-130 gms; VINEGAR-15 gms; Common salt-15 gms
Kale Mushroom Frittata with 2 egg Whites,9,Continental,Breakfast,Eggetarian,egg ,1 medium,477,128,18,4,3,2,1.7089,Egg-100 gms; Kale-67 gms; MUSHROOM-250 gms; CHEESE-15 gms; Olive oil-15 gms; Common salt-15 gms; Black pepper-15 gms
French Toast with 2 Egg Whites and Whole Wheat Bread,9,Continental,Breakfast,Eggetarian,egg ,1 slice,110,197,11,21,7,1,0.132,Bread-30 gms; Eggs-65 gms; Olive oil-15 gms
Egg White Curry,2,"North,South,West",Dry Curry,Eggetarian,egg ,1 medium bowl,460,210,2,14,5,5,0.5425,Eggs-3 g; Onion-125 gms; Tomato-90 gms; Ginger powder-15 gms; Garlic powder-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-15 gms; Coriander leaves-150 gms
Egg White Omelette with mushroom,9,Continental,Breakfast,Eggetarian,egg ,1 medium,571,249,13,11,15,3,1.8299,Onion-62.5 gms; Common salt-4 gms; Olive oil-15 gms; Coriander leaves-37.5 gms ; Egg-260 gms; MUSHROOM-75 gms; Capsicum-200 gms; Black Pepper-7 gms
Egg Bhurji with 3 Egg Whites and 1 Yolk,2,"North,East,West,South",Dry Curry,Eggetarian,egg ,1 medium,590,253,18,11,13,3,0.2775,Eggs-195 gms;Onion-125 gms; Tomato-90 gms; Chillies-15 gms; Common salt-15 gms; Coriander leaves-150 gms
Egg Fritttata with high fiber,0,Continental,Appetizer,Eggetarian,egg ,1 medium,761,530,43,8,36,2,0.7056,Eggs-3 egg; SPINACH-150 gms; Broccoli-350 gms; Capsicum-201 gms; Olive oil-30 gms; Common salt-15 gms; Black pepper-15 gms
Egg Frittata with high fiber content and low fat,0,Continental,Appetizer,Eggetarian,egg ,1 medium,1246,645,45,14,44,6,0.6516,Eggs-390 gms; Spinach-150 gms; Broccoli-350 gms; Capsicum-201 gms;Onion-125 gms; Olive oil-15 gms; Black pepper-15 gms
Paneer Tikki,6,"North,East,West",Appetizer,Veg,dairy ,3 number,241,116,3,5,8,1,0.649,"Potato-100 gms;Chillies-15 gms; Coriander leaves-15 gms; Sunflower oil-15 gms; Common salt-15 gms; Garam Masala-15 gms; Red chilli Powder-4 gms; Paneer-50 gms; Ginger-2.5 gms ,Cumin powder-7 gms"
Dahi Paneer Kebab,6,"North,East,West",Appetizer,Veg,dairy ,1 number,174,284,10,6,23,1,0.8319,Paneer-70 gms; Yoghurt-15 gms; Ginger-7 gms;Garlic-7 gms; Lemon-15 gms; Coriander leaves-15 gms; Common salt-15 gms; Olive oil-15 gms; Red chilli Powder-15 gms
French Toast Baked,9,Continental,Breakfast,Veg,dairy ,1 slice,365,102,6,15,1,1,0.9185,Bread-25 gms; Egg-130 gms; Milk-15 gms; Common salt-15 gms; carrot-15 gms; Capsicum-15 gms; Onion-15 gms; Tomato-120 gms; Red chilli Powder-15 gms
Filter Coffee (Skimmed milk),12,South,Beverages,Veg,"dairy,caffeine",1 cup,257,70,6,11,0,0,0.8155,Milk-250 gms; Coffee-7 gms
Chikoo Shake,12,Continental,Beverages,Veg,dairy ,1 glass,482,234,4,50,2,6,0.672,chikoo-350 gms; Milk-125 gms; Cinnamon-7 gms
Paneer satay,0,Continental,Appetizer,Veg,dairy ,2 number,292,126,10,8,5,1,1.09105,Paneer-60 gms; Lemon-7 gms; Common salt-15 gms; Yoghurt-150 gms; soya sauce-15 gms; Garlic powder-15 gms; Garam Masala-15 gms; Red chilli Powder-15 gms
PANEER CUTLETS,6,"North,East,West",Appetizer,Veg,dairy ,2 slice,876,547,30,45,27,7,2.3425,Paneer-200 gms; Potato-150 gms; Ginger-15 gms; Turmeric powder-4 gms; Sunflower oil-15 gms; Garlic powder-15 gms; Chillies-2 gms; Coriander Powder-5 gms;Onion-125 gms; carrot-50 gms; Peas-250 gms; Cumin seeds-15 gms; Garam Masala-15 gms; Common salt-15 gms
Chicken Tikka,6,North ,Appetizer,Non-veg,dairy ,4 number,1127,277,27,6,18,1,4.9525,Ginger-7 gms; Turmeric powder-15 gms; Common salt-15 gms; Chicken-750 gms; Garlic powder-7 gms; Coriander Powder-24 gms; Yogurt-225 gms; Paprika powder-30 gms; Cumin Powder-24 gms; Lemon-30 gms
Quinoa Tikki,6,Continental,Appetizer,Veg,dairy ,2 number,541,230,6,32,10,4,0.5838,Common salt-7 gms; Coriander leaves-7 gms; POTATO-150 gms;Onion-125 gms;Mint leaves-7 gms; Chillies-15 gms; Cumin seeds-15 gms; Olive oil-15 gms; Quinoa-200 gms
Paneer Bhurji,2,"North,East,West",Dry Curry,Veg,dairy ,1 medium katori,229,192,9,8,12,0,0.6482,Paneer-50 gms; Onion-60 gms;Tomato-70 gms; Turmeric powder-4 gms; Cumin seeds-4 gms; Chillies-4 gms; Mustard oil-15 gms; CORIANDER LEAVES-15 gms; Common salt-7 gms
MURGH PALAK KORMA KEBAB,6,North ,Appetizer,Non-veg,dairy ,4 medium,695,290,30,5,17,4,0.8475,Chicken-60 gms; Spinach-500 gms; Ginger-30 gms; Chillies-15 gms; Garlic powder-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Curd-15 gms; Garam Masala-15 gms; Cooking oil-15 gms
Paneer Masala,2,"North,East,West",Dry Curry,Veg,dairy ,1 medium katori,564,554,31,35,31,6,1.7647,Paneer-100 gms; Turmeric powder-7 gms; Common salt-7 gms; Cooking oil-15 gms; Onion-90 gms; Garlic-20 gms; TOMATO-90 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Red chilli Powder-15 gms;Yoghurt-200 gms
Papaya shake,12,Continental,Beverages,Veg,dairy ,2 glass,557,68,5,11,0,3,0.9795,Papaya-300 gms; MILK-250 gms; Black Pepper-7 gms
Peas raita,4,"North,East,West",Appetizer,Veg,dairy ,1 small katori,445,226,13,18,11,8,0.8515,Peas -150 gms; Yoghurt-250 gms; Common salt-15 gms; Cumin seeds-15 gms; Red chilli Powder-15 gms
Garlic Cheese Toast,0,Continental,Appetizer,Veg,dairy ,1 medium,195,230,6,14,16,1,0.707,Bread-25 gms;Garlic-5 gms; BUTTER-15 gms; CHEESE-15 gms; Tomato-120 gms; Common salt-15 gms; 
Banana Shake,12,Continental,Beverages,Veg,dairy ,2 glass,518,184,8,37,1,1,1.12,Banana-118 gms;Milk-400 gms
Lauki Raita,4,"North,East,West",Appetizer,Veg,dairy ,4 medium katori,525,37,4,4,1,3,0.695,Bottle gourd-250 gms; Common salt-15 gms;Yoghurt-200 gms; Cumin seeds-15 gms; Chat Masala-15 gms; Black pepper-15 gms; Coriander leaves-15 gms
Egg Sandwich,9,Continental,Breakfast,Eggetarian,dairy ,1 medium,212,313,16,27,16,3,0.3827,Egg-2 number; bread-50 gms; Common salt-7 gms; Tomato-120 gms; CUCUMBER-5 gms; Black pepper-15 gms; Olive oil-15 gms
Beetroot Raita,4,"North,South",Appetizer,Veg,dairy ,1 medium bowl,350,160,8,9,10,1,0.6325,Yoghurt-250 gms; Beet root-70 gms;Mint leaves-15 gms; Common salt-15 gms
Cucumber Raita,4,"North,South",Appetizer,Veg,dairy ,1 medium katori,489,173,8,10,11,4,0.7399,Yoghurt-250 gms; Cucumber-200 gms; Cumin seeds-15 gms;Common salt -24 gms
Almond and Raisins Raita,4,Continental,Appetizer,Veg,dairy ,1 medium katori,295,168,8,9,11,3,0.685,Yoghurt-250 gms; Almond-5 number; RAISINS-7 number;  Coriander leaves-15 gms; Common salt-15 gms; Cumin seeds-15 gms
French Toast,9,Continental,Breakfast,Veg,dairy ,1 slice,107,180,7,20,8,0,0.4303,Bread-25 gms; Egg-60 gms; milk-15 gms; BUTTER-7 gms
Mango Shake,12,Continental,Beverages,Veg,dairy ,2 glass,1200,233,10,46,2,2,1.995,MANGO-700 gms; Milk-500 gms
Strawberry Shake,12,Continental,Beverages,Veg,dairy ,1 glass,350,79,7,13,0,1,0.785,strawberry-100 gms; Milk-250 gms
Aloo Raita,4,"North,East,West",Appetizer,Veg,dairy ,1 medium katori,270,534,55,73,6,5,0.435,POTATO-150 gms; Yoghurt-30 gms; Cumin seeds-15 gms; Red chilli Powder-15 gms; Black pepper-15 gms; Coriander Powder-15 gms; Ginger powder-15 gms; Chillies-15 gms
Lettuce Wrap (paneer),0,Continental,"Lunch,Dinner",Veg,dairy ,1 number,341,165,7,8,10,6,1.5845,Paneer-150 gms; Onion-15 gms; Tomato-15 gms; Cucumber-15 gms; Carrot-15 gms; Capsicum-15 gms; Chillies-10 gms; Coriander leaves-15 gms; Lemon-15 gms; Black pepper-4 gms; Cooking Oil-15 gms; Common salt-15 gms; Cumin seeds-15 gms; Turmeric powder-7 gms; Lettuce Leaf-20 gms
Paneer Pakora,11,"North,East,West",Snacks,Veg,dairy ,3 number,640,451,27,37,17,7,1.804,Turmeric powder-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Paneer-50 gms; Besan-250 gms; Red chilli Powder-250 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Olive oil-15 gms
Paneer & Salsa Tortilla Wrap,0,Continental,"Lunch,Dinner",Veg,dairy ,1 number,289,247,13,18,12,5,0.6725,Paneer-50 gms; Tomato-62 gms; Capsicum-62 gms; Onion-62 gms; Coriander leaves-15 gms;Black Pepper-4 gms; Common salt-4 gms; Soyabean oil-15 gms; Chat Masala-15 gms
Rawa Dosa,14,South,Breakfast,Veg,dairy ,1 medium,287,642,18,95,19,19,0.3695,Semolina-125 gms; Yoghurt-15 gms; Black pepper-7 gms; Curry leaves-5 gms; Coriander leaves-30 gms; Onion-60 gms; Sunflower oil-15 gms; ; Cumin seeds-15 gms; Rice Flour-15 gms
Malai Tikka,11,"North,East,West",Snacks,Veg,dairy ,1 medium bowl,635,514,37,26,29,19,1.9745,Cauliflower-125 gms; Mushroom-125 gms; Paneer-125 gms; Yoghurt-30 gms; Cashew-5 gms; Ginger-20 gms;Garlic-5 gms; Lemon-15 gms; Cumin seeds-15 gms; Coriander seeds-15 gms; Turmeric powder-15 gms;  Coriander leaves-125 gms; Sunflower oil-15 gms
Hung Curd Salad,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,dairy ,1 small bowl,955,409,23,56,8,18,0.968,Yoghurt-125 gms; Cucumber-200 gms; Tomato-120 gms; Onion-125 gms; Capsicum-125 gms; Lettuce Leaf-10 gms; carrot-125 gms;  Parsley-125 gms
Mint raita,4,Continental,Appetizer,Veg,dairy ,4 small katori,275,45,7,5,1,1,0.261,Mint leaves-15 gms; Yoghurt-15 gms;Onion-125 gms; Tomato-90 gms; Cumin seeds-15 gms; Common salt-15 gms
Lauki raita (lactose free),4,Continental,Appetizer,Veg,dairy ,4 small bowl,484,47,7,5,1,2,0.643,Bottle gourd-250 gms; Common salt-15 gms;Yoghurt-200 gms; Cumin seeds-15 gms; Chaat Masala-4 gms
Rice Paneer Sizzler,0,Continental,"Lunch,Dinner",Veg,dairy ,4 small bowl,444,134,5,14,6,1,1.7064,Paneer-150 gms; Ginger-7 gms; Garlic-7 gms; Cooking oil-15 gms; Capsicum-30 gms; Onion-150 gms;Mint leaves-15 gms; Lettuce Leaf-20 gms; Rice-50 gms
PANEER SALAD,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,dairy ,1 small bowl,284,332,23,25,15,6,0.9892,Paneer-100 gms; Cucumber-62 gms; Onion-62 gms; Coriander leaves-15 gms;  Lemon-15 gms; Black pepper-15 gms; Chat Masala-15 gms
Suji Cheela,1,"North,West,East","Lunch,Dinner",Veg,dairy ,1 medium,310,239,8,37,4,6,0.4573,Semolina-62 gms; Yoghurt-30 gms; Onion-30 gms; Tomato-120 gms; Capsicum-15 gms; Chillies-4 gms; MUSTARD SEEDS-4 gms; Coriander leaves-15 gms; Cooking oil-7 gms; Common salt-4 gms; Cumin seeds-4 gms; Red chilli Powder-15 gms
KADHI (NO PAKORA),2,"North,West",Dry Curry,Veg,dairy ,1 medium katori,958,551,27,48,26,7,1.8233,Yoghurt-500 gms; Turmeric powder-4 gms; Common salt-7 gms; Cumin seeds-7 gms; MUSTARD SEEDS-7 gms; Chillies-40 gms; Ginger-7 gms; Garlic-7 gms; Sunflower oil-7 gms; Cumin seeds-7 gms; Curry leaves-4 number; Besan-350 gms; Red chilli Powder-15 gms
PANEER ROTI,1,"North,East,West","Lunch,Dinner",Veg,dairy ,1 number,142,262,13,38,6,9,0.4385,Atta-45 gms; Paneer-30 gms; Onion-15 gms; Ginger-7 gms; Coriander leaves-15 gms; Cumin seeds-15 gms; Garam Masala-15 gms; 
Paneer Sandwich,0,"North,East,West","Lunch,Dinner",Veg,dairy ,2 medium,626,334,15,28,18,7,2.7225,Cucumber-75 gms; Tomato-75 gms; Onion-75 gms; Black pepper-7 gms; Red chilli Powder-7 gms; Common salt-15 gms; Bread-100 gms; Paneer-250 gms; Chat Masala-7 gms; BUTTER-15 gms
Paneer Tikka,6,Continental,Appetizer,Veg,dairy ,3 number,471,152,7,7,10,0,1.4053,Paneer-100 gms; Yoghurt-15 gms; Ginger-15 gms;Garlic-15 gms; Turmeric powder-4 gms; Lemon-7 gms; Common salt-15 gms; Mustard oil-15 gms; Capsicum-225 gms; Tomato-1 small; Onion-60 gms
Yogurt Kebab,6,Continental,Appetizer,Veg,dairy ,3 number,1190,281,23,18,12,5,2.5625,Common salt-15 gms; Curd-350 gms;Paneer-250 gms; POTATO-250 gms; Coriander leaves-250 gms;Mint leaves-15 gms; Ginger-15 gms; Chat Masala-15 gms; Cumin seeds-15 gms; Olive oil-15 gms
Saute Paneer,0,Continental,Appetizer,Veg,dairy ,1 medium katori,236,282,15,10,19,1,1.3859,"Paneer -150 gms; Cooking oil-7 gms; Onion-15 gms; Capsicum-15 gms; Capsicum, red-15 gms; Zucchini-15 gms; Common salt-4 gms; Coriander leaves-15 gms"
Makhana Milk,12,"North,East,West",Beverages,Veg,dairy ,1 glass,530,701,18,89,10,0,1.1025,Makhana-250 gms; Milk-250 gms; Brown sugar-15 gms; cardamom-15 gms
Milk Tea,12,"North,South,East,West",Beverages,Veg,dairy ,2 cup,280,45,5,7,0,0,0.775,Tea-15 gms; Ginger-15 gms; MILK-250 gms
